index,artist,artist_id,name,id,url,album_name,album_id,release_date,duration_ms,explicit,popularity,added_at
25,ElyOtto,4b19vuzlDcNdU4quI7L6sW,SugarCrash!,2ePtv8MlBO9nuuXABqAfEX,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX,SugarCrash!,064pDjy5L2sQn0XLJj2wWx,2020-08-25,80080,True,67,2025-09-20T12:04:44Z
26,Alex & Sierra,58MLl9nC29IXbE4nEtuoP2,Little Do You Know,1almCHdsfikRPfVB9VrEdT,https://open.spotify.com/track/1almCHdsfikRPfVB9VrEdT,It's About Us,3Yk19X5zgXDSrG8uqrPnXC,2014-10-06,185200,False,69,2025-09-20T12:04:43Z
27,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,In the Name of Love,23L5CiUhw2jV1OIMwthR3S,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S,In the Name of Love,1FOJ5IXGXe8dl0cXvCU6wK,2016-07-29,195706,False,78,2025-09-20T12:04:41Z
28,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,Illuminate,1ne2D0NxoGyZd31gAM4HNd,2017-04-20,187973,False,85,2025-09-20T12:04:39Z
29,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,1989 (Deluxe),1yGbNOtRIgdIiGHOEBaZWf,2014-01-01,231826,False,83,2025-09-20T12:04:37Z
30,Bridgit Mendler,4VhL8KLjVso4vLfOLVViTb,Ready or Not,5xvUgoVED1F4mBu8FL0HaW,https://open.spotify.com/track/5xvUgoVED1F4mBu8FL0HaW,Hello My Name Is...,114sumrk5wTeMWHVin86QC,2012-01-01,200946,False,69,2025-09-20T12:04:36Z
31,Post Malone,246dkjvS1zLTtiykXe5h60,Better Now,7dt6x5M1jzdTEt8oCbisTK,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,beerbongs & bentleys,6trNtQUgC8cgbWcqoMYkOR,2018-04-27,231266,True,79,2025-09-20T12:04:35Z
32,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Don't Go Yet,1058fW9H3fZA6QjYCdOBad,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad,Don't Go Yet,4gxhWdfO9qAogokjIc2bPZ,2021-07-23,164842,False,66,2025-09-20T12:04:33Z
33,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,NO,0l0CvurVUrr2w3Jj1hOVFc,https://open.spotify.com/track/0l0CvurVUrr2w3Jj1hOVFc,Thank You (Deluxe Version),08eweM0IZoZPCCxODbrMoL,2017-05-12,213506,False,78,2025-09-20T12:04:31Z
34,Nightcore Dreams,0lPqRRcwqLwi9ODLGDu5sA,Armor,7gmHi5czs1e2nEJBSwwH1Y,https://open.spotify.com/track/7gmHi5czs1e2nEJBSwwH1Y,Armor,11gfAxijQOUGJNUlCwV20Z,2017-07-19,184058,False,39,2025-09-20T12:04:28Z
